team,keeper,P_golden_glove,exp_clean_sheets,exp_conceded,P_top3
Spain,David Raya,0.1916,3.4114,3.9795,0.39325
Argentina,Emiliano Martínez,0.1312,3.0054,4.1871,0.2942
France,Mike Maignan,0.0831,2.6592,4.4997,0.21405
England,Jordan Pickford,0.06455,2.48,4.3641,0.1746
Brazil,Alisson,0.0479,2.2983,4.47465,0.14445
Colombia,Camilo Vargas,0.0449,2.1769,4.6226,0.1295
Mexico,Luis Malagón,0.04405,2.32375,4.3818,0.14225
Portugal,Diogo Costa,0.03755,2.0935,4.62095,0.1185
Ecuador,Hernán Galíndez,0.03685,2.18205,4.5084,0.1237
Germany,Manuel Neuer,0.0279,2.04835,4.6051,0.09945
Netherlands,Bart Verbruggen,0.02775,1.9745,4.51305,0.09745
Switzerland,Gregor Kobel,0.025,2.07045,4.3987,0.0963
Japan,Zion Suzuki,0.02485,1.9033,4.5562,0.0891
Belgium,Thibaut Courtois,0.01985,1.84385,4.58745,0.0798
Morocco,Yassine Bounou,0.0198,1.76495,4.7795,0.07235
Croatia,Dominik Livaković,0.0179,1.72695,4.8208,0.0648
Uruguay,Sergio Rochet,0.01785,1.69225,5.00875,0.0602
Turkey,Uğurcan Çakır,0.0172,1.66395,4.77585,0.0644
Norway,Ørjan Nyland,0.0169,1.6377,4.97515,0.061
Canada,Dayne St. Clair,0.01665,1.89815,4.5329,0.07205
United States,Matt Turner,0.01405,1.5041,4.83145,0.05295
South Korea,Jo Hyeon-woo,0.0119,1.6304,4.8325,0.05045
Iran,Alireza Beiranvand,0.01185,1.53195,4.77105,0.0468
Australia,Mathew Ryan,0.00815,1.27435,4.9634,0.0324
Senegal,Édouard Mendy,0.0066,1.2837,5.1611,0.03275
Paraguay,Roberto Fernández,0.00425,1.1161,5.06275,0.0229
Panama,Orlando Mosquera,0.0042,1.1821,5.2954,0.02005
Algeria,Anthony Mandrea,0.00365,1.09145,5.3619,0.0169
Austria,Alexander Schlager,0.00355,1.1099,5.3607,0.0167
Egypt,Mohamed El Shenawy,0.0033,1.1285,5.044,0.0179
Scotland,Angus Gunn,0.00275,1.0612,5.24125,0.0171
Ivory Coast,Yahia Fofana,0.00245,1.08155,5.3417,0.01455
Czech Republic,Jindřich Staněk,0.00175,1.03975,5.3562,0.01225
Sweden,Robin Olsen,0.0015,0.8512,5.45535,0.0072
Uzbekistan,Utkir Yusupov,0.0014,0.8831,5.48965,0.0083
New Zealand,Max Crocombe,0.00075,0.77885,5.46335,0.0057
Jordan,Yazeed Abulaila,0.00075,0.69065,5.94755,0.00435
Tunisia,Aymen Dahmen,0.0007,0.73235,5.63975,0.005
DR Congo,Lionel Mpasi,0.0006,0.68005,5.8044,0.00385
South Africa,Ronwen Williams,0.00055,0.60525,6.0096,0.0027
Bosnia and Herzegovina,Nikola Vasilj,0.00055,0.8498,5.65525,0.00565
Saudi Arabia,Mohammed Al-Owais,0.0004,0.6246,6.63095,0.0021
Iraq,Jalal Hassan,0.00025,0.5674,6.07695,0.0037
Haiti,Johny Placide,0.00025,0.5828,6.0314,0.0029
Cape Verde,Vozinha,0.0002,0.51565,6.95825,0.0009
Qatar,Meshaal Barsham,0.00015,0.5185,6.3256,0.00125
Curaçao,Eloy Room,0.0001,0.42835,6.7066,0.001
Ghana,Lawrence Ati-Zigi,5e-05,0.3993,6.8126,0.0003
